samples_per_row=4194304
q,s,B,tests,non_units,epsilon,minus_log2_epsilon,heuristic_log2,avg_sampler_attempts,equal_resamples,seconds
127,3,2.9,4194304,15421,3.676652908325e-3,8.087391,-7.977,5.042280,5,0.633
383,4,3.4,4194304,1866,4.448890686035e-4,11.134267,-11.162,9.857161,0,1.339
641,4,3.4,4194304,13882,3.309726715088e-3,8.239072,-12.648,9.851549,0,1.359
1151,4,3.7,4194304,190,4.529953002930e-5,14.430144,-14.337,2.917739,0,0.606
1153,4,3.7,4194304,5267,1.255750656128e-3,9.637234,-14.342,2.915774,0,0.618
1279,4,3.7,4194304,143,3.409385681152e-5,14.840129,-14.642,2.917560,0,0.622
1409,4,3.8,4194304,2530,6.031990051270e-4,10.695078,-14.921,1.711357,0,0.481
1663,4,3.8,4194304,101,2.408027648926e-5,15.341789,-15.399,1.710960,0,0.482
2687,5,4.0,4194304,37,8.821487426758e-6,16.790547,-16.784,8.340339,0,1.505
2689,5,4.0,4194304,1126,2.684593200684e-4,11.863009,-16.786,8.343782,0,1.504
3457,5,4.0,4194304,887,2.114772796631e-4,12.207210,-17.511,8.350498,0,1.520
3583,5,4.0,4194304,15,3.576278686523e-6,18.093109,-17.614,8.345699,0,1.510
3967,5,4.0,4194304,24,5.722045898438e-6,17.415037,-17.908,8.344137,0,1.505
4481,5,4.0,4194304,685,1.633167266846e-4,12.580040,-18.259,8.346652,0,1.511
4993,5,4.0,4194304,596,1.420974731445e-4,12.780831,-18.571,8.347352,0,1.505
5119,5,4.0,4194304,9,2.145767211914e-6,18.830075,-18.643,8.350162,0,1.513
5503,5,4.0,4194304,17,4.053115844727e-6,17.912537,-18.852,8.344492,0,1.515
6143,5,4.1,4194304,8,1.907348632812e-6,19.000000,-19.169,5.606172,0,1.134
6271,5,4.1,4194304,9,2.145767211914e-6,18.830075,-19.229,5.605601,0,1.144
6529,5,4.1,4194304,368,8.773803710938e-5,13.476438,-19.345,5.611207,0,1.147
